date,open,high,low,close,volume,amount,change_pct
2025-11-12,24.0,24.0,23.35,23.69,3480225,82363389.45,-0.6709
2025-11-13,23.78,25.34,23.65,24.18,8778792,214318942.28,2.0684
2025-11-14,24.0,24.15,23.54,23.71,4138400,98776833.64,-1.9438
2025-11-17,23.77,23.83,23.18,23.68,4346996,102087721.68,-0.1265
2025-11-18,23.51,23.74,23.05,23.11,2991479,69585047.79,-2.4071
2025-11-19,23.19,23.75,22.8,23.15,5554192,128761976.72,0.1731
2025-11-20,23.18,23.4,22.69,22.77,3547272,81224338.04,-1.6415
2025-11-21,22.5,22.81,21.47,21.5,4100540,89998225.0,-5.5775
2025-11-24,22.18,22.2,21.65,21.92,3433840,75365877.4,1.9535
2025-11-25,22.1,22.48,21.91,21.94,3029380,67199335.6,0.0912
2025-11-26,21.84,22.69,21.69,21.98,3386748,74769608.8,0.1823
2025-11-27,21.9,22.96,21.76,22.36,5019701,112889815.38,1.7288
2025-11-28,22.23,23.29,22.13,23.15,4832000,110386316.0,3.5331
2025-12-01,22.9,23.26,22.63,22.77,4021860,91696423.88,-1.6415
2025-12-02,22.63,22.79,22.3,22.53,2417468,54195047.35,-1.054
2025-12-03,22.53,22.95,22.3,22.76,3980176,90231321.76,1.0209
2025-12-04,22.51,24.41,22.0,23.66,11120048,258863887.84,3.9543
2025-12-05,23.38,23.38,21.93,22.33,11261142,251655534.1,-5.6213
2025-12-08,22.35,23.22,22.1,22.94,9176738,208043037.34,2.7318
2025-12-09,22.92,22.92,22.21,22.37,5536072,124568499.96,-2.4847
2025-12-10,22.4,22.76,22.22,22.36,3733700,83790417.0,-0.0447
2025-12-11,22.3,22.44,21.69,21.69,5311460,116753179.24,-2.9964
2025-12-12,21.65,22.05,21.34,21.72,5177440,111930239.4,0.1383
2025-12-15,21.69,21.69,21.2,21.37,3071000,65769989.0,-1.6114
2025-12-16,21.39,21.48,20.75,20.84,3292300,69167264.0,-2.4801
2025-12-17,21.0,21.0,20.42,20.93,2314072,47890901.48,0.4319
2025-12-18,20.86,21.71,20.71,21.48,4922400,105148394.0,2.6278
2025-12-19,21.6,21.88,21.4,21.79,3160292,68563943.16,1.4432
2025-12-22,21.9,22.32,21.83,22.02,3305100,73021769.0,1.0555
2025-12-23,21.9,22.04,21.77,21.85,1970992,43100861.64,-0.772
2025-12-24,21.9,22.62,21.66,22.56,4042292,90120968.32,3.2494
2025-12-25,22.5,22.66,22.19,22.56,3366300,75522146.16,0.0
2025-12-26,22.51,22.74,22.15,22.32,2697400,60531524.0,-1.0638
2025-12-29,22.32,22.5,22.09,22.26,2623500,58338658.0,-0.2688
2025-12-30,22.31,22.64,22.07,22.55,3054600,68521776.0,1.3028
2025-12-31,23.93,24.81,23.01,24.2,26771396,646585457.17,7.3171
