date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-08-21,600498,25.81,26.02,26.83,25.81,507780.0,1330982007.0,3.95,0.85,0.22,4.35
2025-08-22,600498,26.06,26.56,26.97,25.86,614650.0,1624769599.0,4.27,2.08,0.54,5.27
2025-08-25,600498,27.51,28.29,29.22,26.97,1153446.0,3240405969.0,8.47,6.51,1.73,9.89
2025-08-26,600498,27.75,27.09,27.93,26.98,899910.0,2464581407.0,3.36,-4.24,-1.2,7.71
2025-08-27,600498,27.06,26.55,27.63,26.38,624803.0,1698510369.0,4.61,-1.99,-0.54,5.36
2025-08-28,600498,26.38,28.0,28.2,26.36,884815.0,2441249346.0,6.93,5.46,1.45,7.58
2025-08-29,600498,27.8,27.43,27.89,27.2,559630.0,1539367654.0,2.46,-2.04,-0.57,4.8
2025-09-01,600498,27.52,27.16,28.04,26.85,575294.0,1567790948.0,4.34,-0.98,-0.27,4.93
2025-09-02,600498,26.99,25.68,27.25,25.4,664699.0,1731695425.0,6.81,-5.45,-1.48,5.7
2025-09-03,600498,25.62,25.64,26.22,25.41,437185.0,1126419830.0,3.15,-0.16,-0.04,3.75
2025-09-04,600498,25.83,24.07,26.05,23.53,577248.0,1423837447.0,9.83,-6.12,-1.57,4.95
2025-09-05,600498,24.28,24.54,24.62,23.83,393662.0,955044507.0,3.28,1.95,0.47,3.37
2025-09-08,600498,24.46,24.4,24.63,23.95,367761.0,893805060.0,2.77,-0.57,-0.14,3.15
2025-09-09,600498,24.38,24.23,24.56,23.98,262693.0,637244690.0,2.38,-0.7,-0.17,2.25
2025-09-10,600498,24.39,24.28,24.56,24.0,244212.0,594765819.0,2.31,0.21,0.05,2.09
2025-09-11,600498,24.42,25.4,25.45,24.25,580600.0,1446827883.0,4.94,4.61,1.12,4.98
2025-09-12,600498,25.15,25.53,25.9,25.15,389562.0,998767122.0,2.95,0.51,0.13,3.34
2025-09-15,600498,25.4,24.97,25.47,24.91,329714.0,825009194.0,2.19,-2.19,-0.56,2.83
2025-09-16,600498,24.95,25.54,25.88,24.86,407887.0,1040787085.0,4.08,2.28,0.57,3.5
2025-09-17,600498,25.48,26.25,26.6,25.3,447865.0,1171939070.0,5.09,2.78,0.71,3.84
2025-09-18,600498,26.25,28.88,28.88,26.17,1516218.0,4283497533.0,10.32,10.02,2.63,13.0
2025-09-19,600498,30.47,29.88,31.48,29.61,1726503.0,5241278797.0,6.48,3.46,1.0,14.8
2025-09-22,600498,29.8,29.65,30.85,29.0,1278454.0,3811810070.0,6.19,-0.77,-0.23,10.96
2025-09-23,600498,29.75,28.06,30.0,27.2,1232556.0,3480106020.0,9.44,-5.36,-1.59,10.57
2025-09-24,600498,28.09,28.49,28.8,27.71,812970.0,2300787113.0,3.88,1.53,0.43,6.97
2025-09-25,600498,28.4,29.14,29.83,28.27,941453.0,2739720530.0,5.48,2.28,0.65,8.07
2025-09-26,600498,29.14,28.15,29.68,28.13,590805.0,1696546261.0,5.32,-3.4,-0.99,5.06
2025-09-29,600498,28.0,27.98,28.29,27.49,492280.0,1371515901.0,2.84,-0.6,-0.17,4.22
2025-09-30,600498,28.59,27.45,28.71,27.33,525761.0,1459273673.0,4.93,-1.89,-0.53,4.44
2025-10-09,600498,27.49,27.81,28.5,27.49,644424.0,1802668992.0,3.68,1.31,0.36,5.44
2025-10-10,600498,27.51,27.25,27.95,26.83,555186.0,1516254398.0,4.03,-2.01,-0.56,4.69
2025-10-13,600498,26.0,26.85,27.19,25.9,426142.0,1130244466.0,4.73,-1.47,-0.4,3.6
2025-10-14,600498,26.9,25.24,27.18,25.09,591058.0,1534573171.0,7.78,-6.0,-1.61,4.99
2025-10-15,600498,25.35,26.25,26.88,25.29,643847.0,1689127382.0,6.3,4.0,1.01,5.43
2025-10-16,600498,26.38,26.62,27.15,26.04,579614.0,1546902631.0,4.23,1.41,0.37,4.89
2025-10-17,600498,27.15,25.55,27.29,25.51,470607.0,1235458191.0,6.69,-4.02,-1.07,3.97
2025-10-20,600498,25.9,25.83,26.6,25.57,348638.0,906667548.0,4.03,1.1,0.28,2.94
2025-10-21,600498,25.66,26.15,26.39,25.49,381088.0,991382246.0,3.48,1.24,0.32,3.22
2025-10-22,600498,25.96,25.67,25.99,25.57,250679.0,645757509.0,1.61,-1.84,-0.48,2.12
2025-10-23,600498,25.6,25.1,25.66,24.45,383304.0,950139913.0,4.71,-2.22,-0.57,3.24
2025-10-24,600498,25.33,25.56,25.66,25.2,348507.0,888385223.0,1.83,1.83,0.46,2.94
2025-10-27,600498,25.71,26.25,26.4,25.71,413974.0,1083390116.0,2.7,2.7,0.69,3.49
2025-10-28,600498,26.13,26.24,26.52,26.08,325996.0,856829022.0,1.68,-0.04,-0.01,2.75
2025-10-29,600498,26.35,26.25,26.46,25.91,285555.0,747805689.0,2.1,0.04,0.01,2.41
2025-10-30,600498,26.49,25.09,26.49,25.0,538411.0,1371270453.0,5.68,-4.42,-1.16,4.54
2025-10-31,600498,25.1,24.31,25.15,24.26,483008.0,1186088112.0,3.55,-3.11,-0.78,4.08
2025-11-03,600498,24.19,24.28,24.31,23.85,282718.0,680602290.0,1.89,-0.12,-0.03,2.39
2025-11-04,600498,24.28,23.81,24.28,23.6,253369.0,605255215.0,2.8,-1.94,-0.47,2.14
2025-11-05,600498,23.5,23.76,23.93,23.42,203932.0,483298820.0,2.14,-0.21,-0.05,1.72
2025-11-06,600498,23.86,24.25,24.26,23.79,349571.0,843381470.0,1.98,2.06,0.49,2.95
2025-11-07,600498,24.1,24.33,24.44,23.92,288281.0,697637783.0,2.14,0.33,0.08,2.43
2025-11-10,600498,24.33,24.13,24.61,23.91,282091.0,681898227.0,2.88,-0.82,-0.2,2.38
2025-11-11,600498,24.14,23.83,24.28,23.73,215547.0,515943414.0,2.28,-1.24,-0.3,1.82
2025-11-12,600498,23.71,23.4,23.78,23.28,205571.0,482440804.0,2.1,-1.8,-0.43,1.74
2025-11-13,600498,23.32,23.5,23.52,23.11,188254.0,439370004.0,1.75,0.43,0.1,1.59
2025-11-14,600498,23.4,23.12,23.45,23.12,184438.0,429036687.0,1.4,-1.62,-0.38,1.56
2025-11-17,600498,23.01,23.12,23.26,22.88,192803.0,444628442.0,1.64,0.0,0.0,1.63
2025-11-18,600498,23.08,23.06,23.27,22.88,168845.0,389698963.0,1.69,-0.26,-0.06,1.43
2025-11-19,600498,23.01,22.78,23.14,22.52,220806.0,502557026.0,2.69,-1.21,-0.28,1.86
2025-11-20,600498,22.93,22.58,23.05,22.55,168630.0,382792643.0,2.19,-0.88,-0.2,1.42
2025-11-21,600498,21.95,21.61,22.19,21.58,290934.0,635474650.0,2.7,-4.3,-0.97,2.42
2025-11-24,600498,21.82,22.09,22.18,21.67,210834.0,462642539.0,2.36,2.22,0.48,1.75
2025-11-25,600498,22.2,22.83,23.03,22.16,373397.0,851077947.0,3.94,3.35,0.74,3.11
2025-11-26,600498,22.83,23.3,24.1,22.64,574455.0,1339891223.0,6.4,2.06,0.47,4.78
2025-11-27,600498,23.05,22.92,23.39,22.9,420350.0,973590743.0,2.1,-1.63,-0.38,3.5
2025-11-28,600498,22.84,22.86,22.99,22.67,202422.0,462534450.0,1.4,-0.26,-0.06,1.68
